# Thx
# https://wikiwiki.jp/nenaiko/
# https://a-to-monhan.com/2020/12/28/rise-kannji-yomikata/

# 武器3(笛,軽弩,重弩,弓,操虫棍,穿龍棍,磁斬鎚)

##########
# 笛
しゅりょうぶえ  狩猟笛	名詞
ななほしたいほう	ナナホシ大砲	名詞
にげるてねぶら	ニゲル＝テネブラ	名詞
にげる	ニゲル	名詞
てねぶら	テネブラ	名詞
にゃんにゃんがん	にゃんにゃんガン	名詞
ねじれるびこつのいしゆみ	捻じれる尾骨の弩	名詞
ねぶらぐろぶす	ネブラグロブス	名詞
ねるがるぐれあ	ネルガルグレア	名詞
ねるばすたーがん	ネルバスターガン	名詞
ねろでぃあーか	ネロディアーカ	名詞
ばいてぃんぐぶらすと	バイティングブラスト	名詞
ばいなくるら	バイナクルラ	名詞
はがんたいほうしゅらいあー	破岩大砲シュライアー	名詞
はがんたいほう	破岩大砲	名詞
しゅらいあー	シュライアー	名詞
ばくろうじゅうほう	爆狼重砲	名詞
ばくろうじゅうほう	爆狼重砲【タケル】	名詞
たける	タケル	名詞
ばすたーくらぶ	バスタークラブ	名詞
ばずでぃあーか	バズディアーカ	名詞
はどうほう	覇導砲	名詞
はほうゆぷかむとるむ	覇砲ユプカムトルム	名詞
はほう	覇砲	名詞
ゆぷかむとるむ	ユプカムトルム	名詞
ばるきんきゃのん	バルキンキャノン	名詞
ぱるさーしゅーたー	パルサーシューター	名詞
ぱわーすてぃんかー	パワースティンカー	名詞
ばんがくじゅうどふらむてるま	蛮顎重弩フラムテルマ	名詞
ばんがくじゅうど	蛮顎重弩	名詞
ふらむてるま	フラムテルマ	名詞
ばんかくほう	蛮殻砲	名詞
ひーろーぶらすたー	ヒーローブラスター	名詞
ぴあーすくらぶ	ピアースクラブ	名詞
ひどぅんすないぱー	ヒドゥンスナイパー	名詞
ひゃくりゅうじゅうど	百竜重弩	名詞
ひゅどろすらいもす	ヒュドロスライモス	名詞
ひりゅうほう	妃竜砲	名詞
ひりゅうほう	妃竜砲【遠撃】	名詞
えんげき	遠撃	名詞
ふぁーたまじーあ	ファータ・マジーア	名詞
ふぁーた	ファータ	名詞
まじーあ	マジーア	名詞
ふしるいぐらー	フシルイグラー	名詞
ぶるーむしゅーたー	ブルームシューター	名詞
ぶるーむすたー	ブルームスター	名詞
べるだーきゃのん	ベルダーキャノン	名詞
ぼうしょくのじゅうど	暴食の重弩	名詞
ほうざんたいほう	峯山大砲	名詞
ほうほうのきんぞくき	宝砲の金属器	名詞
ほうほう	宝砲	名詞
きんぞくき	金属器	名詞
ほうほうばせかむるばす	崩砲バセカムルバス	名詞
ほうほう	崩砲	名詞
ばせかむるばす	バセカムルバス	名詞
ぼーんしゅーたー	ボーンシューター	名詞
まがつおおづつ	禍ツ大筒	名詞
まがつおおづつ	禍ツ大筒【封】	名詞
まぐだげみとぅす	マグダ・ゲミトゥス	名詞
まぐだ	マグダ	名詞
げみとぅす	ゲミトゥス	名詞
まつろわぬいしゆみ	奉ろわぬ弩	名詞
みらあんせすれいゔ	ミラアンセスレイヴ	名詞
むーふぁいあ	ムーファイア	名詞
めいえんじゅうどぷとすあすて	冥淵重弩プトスアステ	名詞
めいえんじゅうど	冥淵重弩	名詞
ぷとすあすて	プトスアステ	名詞
めたるあしっど	メタルアシッド	名詞
めておきゃのん	メテオキャノン	名詞
ものでびるきゃすと	モノデビルキャスト	名詞
もんてべるで	モンテベルデ	名詞
ゆくものじゅうど	ユクモノ重弩	名詞
ようがんじゅうほうゔぉるさいん	溶岩重砲ヴォルサイン	名詞
ようがんじゅうほう	溶岩重砲	名詞
ゔぉるさいん	ヴォルサイン	名詞
らぎあぶりっつ	ラギアブリッツ	名詞
らぴっどきゃすと	ラピッドキャスト	名詞
りのまりーの	リノマリーノ	名詞
りゅうぼくのこほう	龍木ノ古砲	名詞
りゅうぼくのこほう	龍木ノ古砲【荒神】	名詞
こほう	古砲	名詞
あらがみ	荒神	名詞
れっせんじゅうどいるみれいお	烈閃重弩イルミレイオ	名詞
れっせんじゅうど	烈閃重弩	名詞
いるみれいお	イルミレイオ	名詞
ろうざんりゅうほう	老山龍砲	名詞
ろーぜんくーげる	ローゼンクーゲル	名詞
ろぜってす	ロゼッテス	名詞
ろっくいーたー	ロックイーター	名詞
よんろくしきせんぷくじゅうほう	46式潜伏重砲	名詞

##########
# 弓
あいしくるぼう	アイシクルボウ	名詞
あいすらいざー	アイスライザー	名詞
あかしまのしんきゅう	あかしまの神弓	名詞
あかしま	あかしま	名詞
しんきゅう	神弓	名詞
あむにす	アムニス	名詞
あるくせろ	アルクセロ	名詞
あるなすだおら	アルナス＝ダオラ	名詞
あるなす	アルナス	名詞
だおら	ダオラ	名詞
あんぎるばいん	アンギルバイン	名詞
いぬき	イヌキ	名詞
ゔぁしむぼう	ヴァシムボウ	名詞
ゔぃらんぶれいす	ヴィランブレイス	名詞
うぃんぐぼう	ウィングボウ	名詞
えーでるばいす	エーデルバイス	名詞
えくらあるく	エクラアルク	名詞
えりゅーふぃん	エリュー・フィン	名詞
えりゅー	エリュー	名詞
ふぃん	フィン	名詞
えんひきゅう	炎妃弓	名詞
えんひきゅう	炎妃弓【媚態】	名詞
びたい	媚態	名詞
おうがきゅう	王牙弓	名詞
おうがきゅう	王牙弓【稚雷】	名詞
わかいづち	稚雷	名詞
おうこくきしきゅうしんしあ	王国騎士弓シンシア	名詞
おうこくきしきゅう	王国騎士弓	名詞
しんしあ	シンシア	名詞
おおばさみ	オオバサミ	名詞
おにかぶとななしゃくきゅう	鬼兜七尺弓	名詞
おるどまきなB	オルドマキナ・B	名詞
おるどまきな	オルドマキナ	名詞
びー	B	名詞
かいぞくじぇーらだーぼう	海賊Jラダーボウ	名詞
かいぞくじぇー	海賊J	名詞
らだーぼう	ラダーボウ	名詞
がいらあろー	ガイラアロー	名詞
かうちゅくろわっさん	カウチュクロワッサン	名詞
かくおうきゅうげいるほーん	角王弓ゲイルホーン	名詞
かくおうきゅう	角王弓	名詞
げいるほーん	ゲイルホーン	名詞
かじきゆみ	カジキ弓	名詞
かぶと	カブト	名詞
かむらのてつきゅう	カムラノ鉄弓	名詞
かやんちゃすりんが	カヤンチャスリンガ	名詞
かんぜんへんたいがーんでゔぁ	完全変態ガーンデヴァ	名詞
かんぜんへんたい	完全変態	名詞
がーんでゔぁ	ガーンデヴァ	名詞
かんなりのしんきゅう	かんなりの神弓	名詞
かんなり	かんなり	名詞
しんきゅう	神弓	名詞
きがんききゅう	祈願希弓	名詞
きょうきゅう	凶弓	名詞
きょうきゅう	凶弓【小夜嵐】	名詞
さよあらし	小夜嵐	名詞
きょじゅうきゅう	巨獣弓	名詞
ぎんよくのだいきゅう	銀翼の大弓	名詞
だいきゅう	大弓	名詞
くいーんぶらすたー	クイーンブラスター	名詞
くるるあろー	クルルアロー	名詞
げんしょうゆみくりにょたん	眩晶弓クリニョタン	名詞
げんしょうきゅう	眩晶弓	名詞
くりにょたん	クリニョタン	名詞
げんらいきゅう	幻雷弓	名詞
げんらいきゅう	幻雷弓【雷霆】	名詞
らいてい	雷霆	名詞
ごうきゅう	轟弓	名詞
ごうきゅう	轟弓【虎髯】	名詞
とらひげ	虎髯	名詞
こうゆうだいきゅう	紅熊大弓	名詞
こきゅうつゆのたまのを	狐弓ツユノタマノヲ	名詞
こきゅう	狐弓	名詞
つゆのたまのを	ツユノタマノヲ	名詞
ごるむぼーげん	ゴルム・ボーゲン	名詞
ごるむ	ゴルム	名詞
ぼーげん	ボーゲン	名詞
こんとんのごん	混沌のゴン	名詞
ごん	ゴン	名詞
しすねだおら	シスネ＝ダオラ	名詞
しすね	シスネ	名詞
だおら	ダオラ	名詞
しゃくえんのゔぁるすたー	灼炎のヴァルスター	名詞
しゃくえん	灼炎	名詞
ゔぁるすたー	ヴァルスター	名詞
じゃなふあるかうす	ジャナフアルカウス	名詞
しゃるらあるなする	シャルラアルナスル	名詞
じゅうゆみへらぎがす	重弓ヘラギガス	名詞
じゅうきゅう	重弓	名詞
へらぎがす	ヘラギガス	名詞
じゅうこうなるきょうかくのゆみ	柔硬なる胸殻の弓	名詞
じゅうこう	柔硬	名詞
きょうかく	胸殻	名詞
しょうりとえいこうのゆうきゅう	勝利と栄光の勇弓	名詞
ゆうきゅう	勇弓	名詞
しんせいなるけああるく	真誠なるケアアルク	名詞
しんせい	真誠	名詞
けああるく	ケアアルク	名詞
ままいらいきゅう	真舞雷弓	名詞
ままいらいきゅう	真舞雷弓【翔鶴】	名詞
しょうかく	翔鶴	名詞
しんめつきゅうあるかにあ	神滅弓アル・カニア	名詞
しんめつきゅう	神滅弓	名詞
あるかにあ	アル・カニア	名詞
しんりゅうきゅう	深流弓	名詞
しんりゅうきゅう	深流弓【竜宮】	名詞
りゅうぐう	竜宮	名詞
すあるくぴうす	スアルクピウス	名詞
すきゅらふぃすと	スキュラフィスト	名詞
すごくふうかしたゆみ	凄く風化した弓	名詞
すぽんぎあ	スポンギア	名詞
せいゆうきゅう	青熊弓	名詞
せきりゅうのうがつや	赤龍ノ穿ツ矢	名詞
せんめつとはかいのごうきゅう	殲滅と破壊の剛弓	名詞
ごうきゅう	剛弓	名詞
そうごらぐましきほうらいきゅう	相互ラグマ式放雷弓	名詞
そうせいのりゅうきゅう	蒼世ノ龍弓	名詞
そうせいのりゅうきゅう	蒼世ノ龍弓【天翔】	名詞
あまかける	天翔	名詞
そにっくぼう	ソニックボウ	名詞
だーてぃりぼるばー	ダーティリボルバー	名詞
だーどあるく	ダードアルク	名詞
たけとりのゆみ	竹取ノ弓	名詞
ちょうへいきゅう	鳥幣弓	名詞
つきうがちせれーね	月穿ちセレーネ	名詞
つきうがち	月穿ち	名詞
せれーね	セレーネ	名詞
つめたきつきのゆみ	冷たき月の弓	名詞
でゅーくふれーだー	デュークフレーダー	名詞
てぃたべすてぃあ	ティタ・ベスティア	名詞
てぃた	ティタ	名詞
べすてぃあ	ベスティア	名詞
てんぐこうはいのゆみ	天具・光背の弓	名詞
こうはい	光背	名詞
どどんくれせんと	ドドン・クレセント	名詞
どどん	ドドン	名詞
くれせんと	クレセント	名詞
どはつぜっきゅう	怒髪絶弓	名詞
どはつぜっきゅう	怒髪絶弓【冬景色】	名詞
ふゆけしき	冬景色	名詞
にくすふぁーぼう	ニクスファーボウ	名詞
にげるるな	ニゲル＝ルナ	名詞
にげる	ニゲル	名詞
るな	ルナ	名詞
ねこにくきゅう	ネコ弐九弓	名詞
ねぶらはーぷ	ネブラハープ	名詞
ねろぷらぬら	ネロ・プラヌラ	名詞
ねろ	ネロ	名詞
ぷらぬら	プラヌラ	名詞
はがんきゅういくさぷろど	破岩弓イクサプロド	名詞
はがんきゅう	破岩弓	名詞
いくさぷろど	イクサプロド	名詞
ばぎぃぼう	バギィボウ	名詞
はきゅうれらかむとるむ	覇弓レラカムトルム	名詞
はきゅう	覇弓	名詞
れらかむとるむ	レラカムトルム	名詞
しろひつじといふなのしろむくろ	白羊といふ名の白骸	名詞
ばくなみきゅう	漠浪弓	名詞
ぱっちんぐーく	ぱっちんグーク	名詞
ぱっちん	ぱっちん	名詞
ぐーく	グーク	名詞
はめつとさいやくのぐれんきゅう	破滅と災厄の紅蓮弓	名詞
ぐれんきゅう	紅蓮弓	名詞
はららぺっこ	ハララペッコ	名詞
ぱるさーぼう	パルサーボウ	名詞
はんたーぼう	ハンターボウ	名詞
びくとりあーら	ビクトリアーラ	名詞
びじょんおぶろすと	ビジョンofロスト	名詞
ひどぅんぼう	ヒドゥンボウ	名詞
ひゃくりゅうきゅう	百竜弓	名詞
ふぁーれんふりーど	ファーレンフリード	名詞
ぶらっくぼう	ブラックボウ	名詞
ふるーる	フルール	名詞
ふるふるぼう	フルフルボウ	名詞
ぷるーむぼう	プルームボウ	名詞
ぶるーりーらいと	ブルーリーライト	名詞
ふるーるーく	フルールーク	名詞
ふるんぶりゅーて	フルンブリューテ	名詞
ぷろみねんすぼう	プロミネンスボウ	名詞
べるだーぼう	ベルダーボウ	名詞
ほうおうがたいげんせしゆみや	鳳凰ガ体現セシ弓矢	名詞
ほうかいとめつじんのゆみ	崩壊と滅尽の弓	名詞
ほうかいとめつじん	崩壊と滅尽	名詞
ほうゆみあいかむるばす	崩弓アイカムルバス	名詞
ほうきゅう	崩弓	名詞
あいかむるばす	アイカムルバス	名詞
ほうきゅうのきんぞくき	宝弓の金属器	名詞
ほうきゅう	宝弓	名詞
きんぞくき	金属器	名詞
ぼうこくのくぴど	亡国のクピド	名詞
くぴど	クピド	名詞
ぼるとあろー	ボルトアロー	名詞
まがつゆみ	禍ツ弓	名詞
まがつゆみ	禍ツ弓【封】	名詞
まゆみぐりもわーる	魔弓グリモワール	名詞
まきゅう	魔弓	名詞
ぐりもわーる	グリモワール	名詞
めいえんごうきゅうすぃえら	冥淵剛弓スィエラ	名詞
めいえんごうきゅう	冥淵剛弓	名詞
すぃえら	スィエラ	名詞
めいきゅうえるくえすた	冥弓エルクエスタ	名詞
めいきゅう	冥弓	名詞
えるくえすた	エルクエスタ	名詞
ゆうきときぼうのせいきゅう	勇気と希望の凄弓	名詞
せいきゅう	凄弓	名詞
ゆうしゃのゆみ	勇者の弓	名詞
ゆくものゆみ	ユクモノ弓	名詞
らいきゅう	雷弓	名詞
らいきゅう	雷弓【百獣王】	名詞
ひゃくじゅうおう	百獣王	名詞
らいとにんぐぼう	ライトニングボウ	名詞
りっかしょうきゅう	六花晶弓	名詞
りゅうきゅう	龍弓	名詞
りゅうきゅう	龍弓【国崩】	名詞
くにくずれ	国崩	名詞
りゅうきゅう	龍弓	名詞
りゅうきゅう	龍弓【日輪】	名詞
にちりん	日輪	名詞
りゅうこつきゅう	龍骨弓	名詞
りゅうとうきん	龍頭琴	名詞
れいふぁーんらいく	レイ＝ファーンライク	名詞
れい	レイ	名詞
ふぁーんらいく	ファーンライク	名詞
れーさるりんぐ	レーサルリング	名詞
ろーぜんぼーげん	ローゼンボーゲン	名詞
ろっかくのだんきゅう	鹿角ノ弾弓	名詞
ろっかく	鹿角	名詞
だんきゅう	弾弓	名詞
ろんぐほーんぼう	ロングホーンボウ	名詞
ろんぐほーんぼう	ロングホーンボウSP	名詞
わいるどぼう	ワイルドボウ	名詞
わざわいをしめしせいをもたらすゆみ	禍ヲ凍メ熾盛ヲ齎ス弓	名詞
でぃーしゃ	D=シャ	名詞
ろくよんしきれんそうきゅう	64式連装弓	名詞

##########
# 操虫棍
そうちゅうこん	操虫こん	名詞
あいあんばよねっと	アイアンバヨネット	名詞
あいあんぶれーど	アイアンブレード	名詞
あいすせぷたー	アイスセプター	名詞
あいのいなびかり	藍の稲光	名詞
あおのじゅうけん	青の銃剣	名詞
じゅうけん	銃剣	名詞
あかしまのしんこん	あかしまの神棍	名詞
あかしま	あかしま	名詞
しんこん	神棍	名詞
あぬびす	アヌビス	名詞
あのかそーどだくと	アノカソードダクト	名詞
あらじんのつえ	アラジンの杖	名詞
あんばーはーけん	アンバーハーケン	名詞
うるくあうりす	ウルクアウリス	名詞
うるすだおら	ウルス＝ダオラ	名詞
うるす	ウルス	名詞
だおら	ダオラ	名詞
えいむおぶとりっく	エイムofトリック	名詞
えるどらじぇずる	エルドラジェズル	名詞
えんぷれすけいん	エンプレスケイン	名詞
えんまめつりゅうこん	焔魔滅龍棍	名詞
おうがこん	王牙棍	名詞
おうがこん	王牙棍【別雷】	名詞
わけいかづち	別雷	名詞
おるたでんと	オルタデント	名詞
おるどまきなIG	オルドマキナ・IG	名詞
おるどまきな	オルドマキナ	名詞
あいじー	IG	名詞
かいちょうほこ	怪鳥矛	名詞
がいらぶれーど	ガイラブレード	名詞
かむらのてつじんこん	カムラノ鉄刃棍	名詞
がろんろっど	ガロンロッド	名詞
かんなりのしんこん	かんなりの神棍	名詞
かんなり	かんなり	名詞
しんこん	神棍	名詞
きーらあるてぃーる	キーラアルティール	名詞
きゃすたーろっど	キャスターロッド	名詞
きょうわ	凶輪	名詞
きょうわ	凶輪【雲霓】	名詞
うんげい	雲霓	名詞
きょじゅうこん	巨獣棍	名詞
きんさいこんぼう	金砕棍棒	名詞
ぎんよくのえいこん	銀翼の鋭棍	名詞
えいこん	鋭棍	名詞
ぐらびでぃふぁーれん	グラビディファーレン	名詞
くりまたくと	クリマ・タクト	名詞
くりま	クリマ	名詞
たくと	タクト	名詞
ぐれいしゃーろっど	グレイシャーロッド	名詞
ぐろぼぶろうぜた	グロボブロウゼタ	名詞
げいぼるぐ	ゲイボルグ	名詞
けもののやり	獣の槍	名詞
けんこんのかりゅうこん	乾坤の火竜棍	名詞
けんこん	乾坤	名詞
かりゅうこん	火竜棍	名詞
こうこくりゅうこんあるいの	煌黒龍棍アルイノ	名詞
こうこくりゅうこん	煌黒龍棍	名詞
あるいの	アルイノ	名詞
こくりゅうこん	黒龍棍	名詞
ごしゃぼこぉ	ゴシャボコォ	名詞
きつねなぎなたつゆさそうらん	狐薙刀ツユサソウラン	名詞
きつねなぎなた	狐薙刀	名詞
つゆさそうらん	ツユサソウラン	名詞
こんがりあちゃちゃ	棍ガリアチャチャ	名詞
さんせいじゅうぽうちえ	三世十方―智慧―	名詞
さんせいじゅうぽう	三世十方―智慧―	名詞
さんせいじゅうぽう	三世十方	名詞
ちえ	智慧	名詞
さんどあんかー	サンドアンカー	名詞
しぇるきゃすたー	シェルキャスター	名詞
しゃくえんのてうざー	灼炎のテウザー	名詞
しゃくえん	灼炎	名詞
てうざー	テウザー	名詞
しゅりょうひつ	狩猟筆	名詞
しゅりょうひつ	狩猟筆【跳躍】	名詞
しるむずまっつぁ	シルムズマッツァ	名詞
すにーくろっど	スニークロッド	名詞
せきりゅうのおろすいかり	赤龍ノ降ス碇	名詞
せくとはるぱー	セクトハルパー	名詞
ぜのしゅまいな	ゼノ＝シュマイナ	名詞
ぜの	ゼノ	名詞
しゅまいな	シュマイナ	名詞
そうきょくをはいすなぎなた	爪棘を配す長刀	名詞
そうきょく	爪棘	名詞
そうこんみがき	掃棍ミガキ	名詞
そうこん	掃棍	名詞
みがき	ミガキ	名詞
たいらんとろっど	タイラントロッド	名詞
だざいのらくりもさ	堕在のラクリモサ	名詞
だざい	堕在	名詞
らくりもさ	ラクリモサ	名詞
だんざいのじゅうこんじぇー	断罪の銃棍J	名詞
じゅうこん	銃棍	名詞
じゅうこんじぇー	銃棍J	名詞
ですぽーと	デスポート	名詞
でゅーくせぷたー	デュークセプター	名詞
てんかいがたひしゅうこんれーげんぐす	展開型飛襲棍レーゲングス	名詞
てんかいがたひしゅうこん	展開型飛襲棍	名詞
れーげんぐす	レーゲングス	名詞
どどぶらんこん	怒々舞乱棍	名詞
にょいぼう	如意棒	名詞
ねつらいのでんりゅうこん	熱雷の電竜棍	名詞
ねつらい	熱雷	名詞
でんりゅうこん	電竜棍	名詞
ねるがるはっしゅ	ネルガルハッシュ	名詞
はがんしょげんとつ	破岩杵ゲントツ	名詞
はがんしょ	破岩杵	名詞
げんとつ	ゲントツ	名詞
はっそうとび	ハッソウ飛ビ	名詞
ばっどうぃんぐ	バッドウィング	名詞
ぱららいずゔぁいん	パラライズヴァイン	名詞
ぱるさーろっど	パルサーロッド	名詞
ひどぅんさいす	ヒドゥンサイス	名詞
ひゃくりゅうじんこん	百竜刃棍	名詞
ひゅどろすあーけーん	ヒュドロスアーケーン	名詞
ふぃんはーぷーん	フィンハープーン	名詞
ふぇーだーろっど	フェーダーロッド	名詞
ぶらんぐれいぶ	ブラングレイブ	名詞
ぷりんせすれがりあ	プリンセスレガリア	名詞
ぶるーむぶれーど	ブルームブレード	名詞
ぶれいずはるばーど	ブレイズハルバード	名詞
ふれいむぶれーど	フレイムブレード	名詞
へびつかいといふなのしろむくろ	蛇遣といふ名の白骸	名詞
へびつかい	蛇遣	名詞
べるだーろっど	ベルダーロッド	名詞
ぼーんろっど	ボーンロッド	名詞
ほうこんのきんぞくき	宝棍の金属器	名詞
ほうこん	宝棍	名詞
ほうじょうきりかむるばす	崩杖キリカムルバス	名詞
ほうじょう	崩杖	名詞
きりかむるばす	キリカムルバス	名詞
ぼるとちゃんばー	ボルトチャンバー	名詞
まがつほこ	禍ツ鉾	名詞
まがつほこ	禍ツ鉾【封】	名詞
まぎあぴたりーん	マギア＝ピタリーン	名詞
まぎあ	マギア	名詞
ぴたりーん	ピタリーン	名詞
みらあんせすろーど	ミラアンセスロード	名詞
めいえんせんこんれまるごす	冥淵戦棍レマルゴス	名詞
めいえんせんこん	冥淵戦棍	名詞
れまるごす	レマルゴス	名詞
めろうふらう	メロウフラウ	名詞
よろいざきろっど	ヨロイザキロッド	名詞
りえるせろ	リエルセロ	名詞
れっくすろっど	レックスロッド	名詞
ろあるぶるーむ	ロアルブルーム	名詞
ろーぜんしゅたんげ	ローゼンシュタンゲ	名詞
ろっどんぐり	ロッドングリ	名詞

##########
# 穿龍棍
せんりゅうこん	穿龍棍	名詞
ゔぁしむふわぁーる	ヴァシム・フワァール	名詞
ゔぁしむ	ヴァシム	名詞
ふわぁーる	フワァール	名詞
ゔぇなむしーかー	ヴェナムシーカー	名詞
うるきーふろーれす	ウルキーフローレス	名詞
えんごうこんりおれうす	炎傲棍リオレウス	名詞
えんごうこん	炎傲棍	名詞
りおれうす	リオレウス	名詞
おうがこん	王牙棍	名詞
おうがこん	王牙棍【雷公】	名詞
らいこう	雷公	名詞
おこすつみこおるとがをまといしくい	熾ス罪凍ル咎ヲ纏シ杭	名詞
かどぅけうす	カドゥケウス	名詞
きゃらばんおうこん	キャラバン殴棍	名詞
おうこん	殴棍	名詞
きんぎんぎょりゅうこん	金銀魚竜棍	名詞
きんこんおです	金棍オデス	名詞
きんこん	金棍	名詞
おです	オデス	名詞
くっくじぇんばー	クックジェンバー	名詞
くえるすてーく	クエルステーク	名詞
ごくこうまじゃりゅうこん	獄・紅魔邪龍棍	名詞
こうまじゃりゅうこん	紅魔邪龍棍	名詞
ごくりゅうこんらんほ	極龍棍ランホ	名詞
ごくりゅうこん	極龍棍	名詞
らんほ	ランホ	名詞
こーれくらうふぃー	コーレクラウフィー	名詞
さいりゅうのきもち	砕竜の気持ち	名詞
さいりゅう	砕竜	名詞
しーらあんかー	シーラアンカー	名詞
しごくぶらいこん	至極舞雷棍	名詞
しごくぶらいこん	至極舞雷棍【金翅鳥】	名詞
こんじちょう	金翅鳥	名詞
しさくがたせんりゅうこん	試作型穿龍棍	名詞
しんひもうこん	真緋猛棍	名詞
しんひもうこん	真緋猛棍【星霜】	名詞
せいそう	星霜	名詞
すいさいしこん	水砦始棍	名詞
すいさいしこん	水砦始棍【五百重波】	名詞
いおえなみ	五百重波	名詞
だーどぶろうばる	ダードブロウバル	名詞
てぃたりぶれ	ティタ・リブレ	名詞
てぃた	ティタ	名詞
りぶれ	リブレ	名詞
どらぐすぱいらる	ドラグスパイラル	名詞
とりどりべりおん	トリドリベリオン	名詞
ふぁぜるがるだ	ファゼル・ガルダ	名詞
ふぁぜる	ファゼル	名詞
がるだ	ガルダ	名詞
ぺんじゃろ	ペン・ジャロ	名詞
ぺん	ペン	名詞
じゃろ	ジャロ	名詞
ろーかぐらんぜん	ローカグランゼン	名詞
ろーぜんどれうざ	ローゼンドレウザ	名詞
ろかぱるつぁー	ロカパルツァー	名詞
ろぶほーぷ	ロブホープ	名詞

##########
# 磁斬鎚
まぐねっとすぱいく	マグネットスパイク	名詞
まぐねっとすぱいく	磁斬鎚	名詞
じざんつい	磁斬鎚	名詞
ざんつい	斬鎚	名詞
がしょうざんつい	賀正斬鎚	名詞
がしょうざんつい	賀正斬鎚【日出】	名詞
ひのえ	日出	名詞
ぐらはむすぱいく	グラハムスパイク	名詞
ごくりゅうざんついばぐりお	極龍斬鎚バグリオ	名詞
ごくりゅうざんつい	極龍斬鎚	名詞
ばぐりお	バグリオ	名詞
しぎんざんついしろがね	司銀斬鎚シロガネ	名詞
つかさぎんざんつい	司銀斬鎚	名詞
しろがね	シロガネ	名詞
まぐねてゅれいら	マグネテュレイラ	名詞
れんかのざんつい	煉華ノ斬鎚	名詞
れんか	煉華	名詞

